PCON11CD,PCON11NM,Area Sq Km,Mid-2018,Mid-2017,Mid-2016,Mid-2015,Mid-2018 ,Mid-2017,Mid-2016,Mid-2015
E14000659,Dartford,86,"115,749","113,576","111,133","109,560","1,347","1,322","1,294","1,275"
E14000660,Daventry,745,"101,156","99,130","97,494","96,071",136,133,131,129
E14000661,Denton and Reddish,26,"86,935","86,628","86,461","86,117","3,385","3,373","3,366","3,353"
E14000662,Derby North,30,"102,509","102,733","102,595","101,860","3,474","3,481","3,477","3,452"
E14000663,Derby South,31,"116,163","115,414","114,421","112,950","3,721","3,697","3,665","3,618"
E14000664,Derbyshire Dales,908,"80,340","79,872","79,234","79,014",88,88,87,87
E14000665,Devizes,"1,023","103,097","102,273","101,405","101,456",101,100,99,99
E14000666,Dewsbury,126,"114,113","113,692","113,332","112,469",905,902,899,892
E14000667,Don Valley,251,"100,577","100,175","99,847","99,358",401,399,398,396
E14000668,Doncaster Central,61,"110,733","110,064","108,800","107,538","1,828","1,817","1,796","1,775"
E14000669,Doncaster North,257,"99,232","98,701","98,727","98,600",387,385,385,384
E14000670,Dover,214,"102,530","101,535","100,329","99,273",479,474,468,464
E14000671,Dudley North,23,"85,362","84,817","83,890","83,525","3,700","3,676","3,636","3,620"
E14000672,Dudley South,25,"81,386","81,197","80,734","80,371","3,207","3,200","3,181","3,167"
E14000673,Dulwich and West Norwood,15,"116,392","116,035","116,098","114,904","7,845","7,821","7,825","7,744"
E14000674,Ealing Central and Acton,18,"122,985","122,419","122,279","122,427","6,856","6,824","6,816","6,824"
E14000675,Ealing North,23,"120,493","121,080","122,498","122,327","5,179","5,204","5,265","5,258"
E14000676,"Ealing, Southall",14,"98,504","99,237","100,025","99,531","6,870","6,921","6,976","6,942"
E14000677,Easington,118,"82,633","82,631","82,814","82,819",702,702,704,704
E14000678,East Devon,333,"106,349","104,193","102,466","100,365",319,313,308,301
E14000679,East Ham,19,"163,730","162,796","162,637","160,162","8,683","8,634","8,625","8,494"
E14000680,East Hampshire,464,"99,087","98,009","97,392","97,625",214,211,210,211
E14000681,East Surrey,259,"112,769","111,878","110,873","109,659",435,431,427,423
E14000682,East Worthing and Shoreham,55,"99,771","99,758","99,821","99,385","1,804","1,804","1,805","1,797"
E14000683,East Yorkshire,"1,053","101,876","101,516","101,635","101,100",97,96,97,96
E14000684,Eastbourne,55,"110,693","110,809","110,488","109,680","2,014","2,017","2,011","1,996"
E14000685,Eastleigh,73,"110,311","108,865","107,975","107,401","1,519","1,499","1,487","1,479"
E14000686,Eddisbury,712,"90,854","89,467","88,185","87,234",128,126,124,122
E14000687,Edmonton,18,"120,343","120,266","120,603","119,124","6,550","6,546","6,564","6,483"
